1 -413.99 -413.99 -0.00 0.00 0.00 233.66 
2 -414.38 -414.38 -14.61 19.68 19.68 232.85 
3 -415.53 -415.53 -29.13 39.22 39.22 230.42 
4 -417.40 -417.40 -43.46 58.50 58.50 226.35 
5 -419.93 -419.93 -57.51 77.37 77.37 220.64 
6 -423.02 -423.02 -71.18 95.72 95.72 213.29 
7 -426.59 -426.59 -84.39 113.44 113.44 204.25 
8 -430.52 -430.52 -97.03 130.43 130.43 193.49 
9 -434.69 -434.69 -109.01 146.60 146.60 180.94 
10 -439.00 -439.00 -120.24 161.85 161.85 166.48 
11 -443.34 -443.34 -130.61 149.93 176.11 176.11 
12 -447.61 -447.61 -140.05 130.89 189.29 189.29 
13 -451.70 -451.70 -148.45 108.62 201.32 201.32 
14 -455.53 -455.53 -155.75 81.23 212.12 212.12 
15 -459.01 -459.01 -161.89 40.69 221.63 221.63 
16 -462.08 -462.08 -166.83 -53.90 229.79 229.79 
17 -464.68 -464.68 -170.57 -83.38 236.55 236.55 
18 -466.75 -466.75 -173.17 -101.73 241.85 241.85 
19 -468.26 -468.26 -174.77 -113.78 245.67 245.67 
20 -469.17 -469.17 -175.57 -120.80 247.97 247.97 
21 -469.48 -469.48 -175.81 -123.12 248.74 248.74 
22 -469.48 -469.21 -183.44 -126.95 247.44 256.83 
23 -469.43 -468.39 -205.32 -128.74 243.57 275.78 
24 -469.26 -467.03 -232.76 -123.65 237.21 297.65 
25 -468.85 -465.13 -258.48 -113.63 228.51 318.13 
26 -468.09 -462.69 -279.89 -99.83 217.66 335.52 
27 -466.86 -459.75 -296.29 -82.41 204.90 349.22 
28 -465.10 -456.34 -307.56 -60.47 190.52 359.09 
29 -462.74 -452.51 -313.76 -27.80 174.84 365.16 
30 -459.74 -448.37 -315.05 41.12 158.21 367.59 
31 -456.09 -443.99 -311.63 60.10 140.99 366.56 
32 -451.79 -439.51 -303.70 70.12 123.55 362.28 
33 -446.90 -435.04 -291.44 74.70 106.27 354.98 
34 -441.56 -430.72 -274.92 75.02 89.49 344.84 
35 -435.95 -426.67 -254.12 71.70 73.50 332.04 
36 -430.37 -423.03 -228.80 58.55 65.18 316.74 
37 -425.13 -419.90 -198.44 44.77 55.86 299.16 
38 -420.57 -417.37 -162.04 32.21 44.15 279.68 
39 -417.02 -415.51 -117.92 20.75 30.55 259.41 
40 -414.76 -414.37 -63.77 10.15 15.62 241.57 
41 -413.99 -413.99 -0.00 0.00 0.00 233.66 
42 -414.18 -414.18 -48.01 11.05 11.05 237.98 
43 -414.75 -414.75 -91.60 22.01 22.01 248.82 
44 -415.68 -415.68 -129.59 32.80 32.80 262.67 
45 -416.95 -416.95 -162.70 43.33 43.33 277.25 
46 -418.51 -418.51 -191.88 53.53 53.53 291.50 
47 -420.31 -420.31 -217.91 63.33 63.33 304.99 
48 -422.30 -422.30 -241.31 72.66 72.66 317.53 
49 -424.43 -424.43 -262.44 81.47 81.47 329.07 
50 -426.65 -426.65 -281.54 89.71 89.71 339.61 
51 -428.88 -428.88 -298.78 97.35 97.35 349.15 
52 -431.09 -431.09 -314.24 104.34 104.34 357.72 
53 -433.21 -433.21 -328.01 110.65 110.65 365.33 
54 -435.20 -435.20 -340.13 116.27 116.27 372.02 
55 -437.01 -437.01 -350.62 121.16 121.16 377.78 
56 -438.62 -438.62 -359.50 125.33 125.33 382.65 
57 -439.97 -439.97 -366.76 128.76 128.76 386.61 
58 -441.05 -441.05 -372.41 131.43 131.43 389.69 
59 -441.84 -441.84 -376.45 133.34 133.34 391.89 
60 -442.32 -442.32 -378.88 134.49 134.49 393.20 
61 -442.48 -442.48 -379.69 134.87 134.87 393.64 
